# Dirsearch started Thu Jan 15 15:18:41 2026 as: /usr/lib/python3/dist-packages/dirsearch/dirsearch.py -u http://localhost:8080/

200    23KB  http://localhost:8080/about.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/browser/default/connectors/php/connector.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/browser/default/connectors/aspx/connector.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/connectors/asp/connector.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/connectors/asp/upload.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/connectors/aspx/connector.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/connectors/php/connector.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/connectors/aspx/upload.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/connectors/php/upload.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/upload/asp/upload.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/file.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/upload/php/upload.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/upload/aspx/upload.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/home    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/heapdump    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/files.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/home.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/home.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/home.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/home.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/home.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/includes/configure.php~    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/index    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/index.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/index.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/index.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/index.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/js/tiny_mce/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/index.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/js/tiny_mce    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/js/tinymce    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/js/tinymce/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/log/error.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.py    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.htm    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.rb    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/login.do    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logon.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/access-log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/error-log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/access_log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/access.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/err.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/error_log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/error.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/errors.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/logs/login.txt    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/manage    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/manage/admin.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/manage/login.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/manage.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/mysql/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/mysql/index.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/phpMyAdmin    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/phpMyAdmin/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/phpmyadmin/index.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/mysql2/index.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/phpmyadmin/    -> REDIRECTS TO: /login.php
